Data Year,County,FUEL_TYPE,MAKE,MODEL,Number of Vehicles
1998,Los Angeles,Electric,Ford,Ranger,1
1998,Orange,Electric,Ford,Ranger,1
1998,San Bernardino,Electric,Ford,Ranger,2
1998,San Mateo,Electric,Ford,Ranger,1
1999,Santa Barbara,Electric,Ford,Ranger,1
2000,Out Of State,Electric,Ford,Ranger,2
2001,Los Angeles,Electric,Ford,Ranger,1
2002,Tulare,Electric,Ford,Ranger,1
2002,Ventura,Electric,Ford,Ranger,2
2003,Placer,Electric,Ford,Ranger,2
2003,Santa Barbara,Electric,Ford,Ranger,1
2003,Ventura,Electric,Ford,Ranger,3
2004,Santa Barbara,Electric,Ford,Ranger,1
2005,Los Angeles,Electric,Ford,Ranger,1
2005,Napa,Electric,Ford,Ranger,1
2005,Sacramento,Electric,Ford,Ranger,1
2005,San Bernardino,Electric,Ford,Ranger,1
2005,Ventura,Electric,Ford,Ranger,4
2006,Ventura,Electric,Ford,Ranger,1
2009,Alameda,Electric,Tesla,Roadster,5
2009,Contra Costa,Electric,Tesla,Roadster,1
2009,Humboldt,Electric,Ford,Ranger,1
2009,Kern,Electric,Tesla,Roadster,1
2009,Los Angeles,Electric,MINI,Cooper,6
2009,Los Angeles,Electric,Tesla,Roadster,23
2009,Los Angeles,Hydrogen,Honda,FCX,1
2009,Marin,Electric,Tesla,Roadster,1
2009,Orange,Electric,Tesla,Roadster,3
2009,Sacramento,Electric,Tesla,Roadster,2
2009,San Diego,Electric,Tesla,Roadster,1
2009,San Francisco,Electric,Tesla,Roadster,5
2009,San Luis Obispo,Electric,Tesla,Roadster,1
2009,San Mateo,Electric,Ford,Ranger,2
2009,San Mateo,Electric,Tesla,Roadster,8
2009,Santa Barbara,Electric,Tesla,Roadster,1
2009,Santa Clara,Electric,Tesla,Roadster,12
2009,Sonoma,Electric,Tesla,Roadster,1
2009,Stanislaus,Electric,Tesla,Roadster,1
2009,Ventura,Electric,MINI,Cooper,4
2009,Ventura,Electric,Tesla,Roadster,3
2009,Yolo,Electric,Ford,Ranger,1
2010,Alameda,Electric,Ford,Ranger,1
2010,Alameda,Electric,Tesla,Roadster,12
2010,Amador,Electric,Ford,Ranger,1
2010,Contra Costa,Electric,Tesla,Roadster,9
2010,Fresno,Electric,Tesla,Roadster,2
2010,Humboldt,Electric,Tesla,Roadster,1
2010,Lake,Electric,Ford,Ranger,1
2010,Los Angeles,Electric,Ford,Ranger,2
2010,Los Angeles,Electric,MINI,Cooper,61
2010,Los Angeles,Electric,Tesla,Roadster,101
2010,Los Angeles,PHEV,Chevrolet,Volt,1
2010,Los Angeles,PHEV,Toyota,Prius PHEV,163
2010,Los Angeles,Hydrogen,Honda,FCX,11
2010,Marin,Electric,Tesla,Roadster,14
2010,Monterey,Electric,Tesla,Roadster,2
2010,Napa,Electric,Tesla,Roadster,3
2010,Orange,Electric,MINI,Cooper,8
2010,Orange,Electric,Nissan,Leaf,1
2010,Orange,Electric,Tesla,Roadster,26
2010,Orange,Hydrogen,Honda,FCX,2
2010,Out Of State,Electric,MINI,Cooper,6
2010,Out Of State,Electric,Tesla,Roadster,3
2010,Placer,Electric,Tesla,Roadster,3
2010,Riverside,Electric,MINI,Cooper,1
2010,Riverside,Electric,Tesla,Roadster,3
2010,Riverside,PHEV,Chevrolet,Volt,1
2010,Sacramento,Electric,Ford,Ranger,1
2010,Sacramento,Electric,Tesla,Roadster,2
2010,San Benito,Electric,Tesla,Roadster,1
2010,San Bernardino,Electric,Tesla,Roadster,1
2010,San Diego,Electric,MINI,Cooper,2
2010,San Diego,Electric,Tesla,Roadster,26
2010,San Francisco,Electric,Tesla,Roadster,20
2010,San Joaquin,Electric,Tesla,Roadster,1
2010,San Mateo,Electric,Ford,Ranger,1
2010,San Mateo,Electric,Tesla,Roadster,38
2010,San Mateo,PHEV,Chevrolet,Volt,1
2010,Santa Barbara,Electric,MINI,Cooper,2
2010,Santa Barbara,Electric,Tesla,Roadster,5
2010,Santa Clara,Electric,Ford,Ranger,6
2010,Santa Clara,Electric,Tesla,Roadster,77
2010,Santa Cruz,Electric,Ford,Ranger,1
2010,Santa Cruz,Electric,Tesla,Roadster,5
2010,Sonoma,Electric,Ford,Ranger,3
2010,Sonoma,Electric,Tesla,Roadster,4
2010,Ventura,Electric,MINI,Cooper,17
2010,Ventura,Electric,Tesla,Roadster,8
2011,Alameda,Electric,Nissan,Leaf,369
2011,Alameda,Electric,Tesla,Roadster,4
2011,Alameda,PHEV,Chevrolet,Volt,79
2011,Amador,Electric,Nissan,Leaf,4
2011,Amador,PHEV,Chevrolet,Volt,2
2011,Butte,Electric,Nissan,Leaf,8
2011,Butte,PHEV,Chevrolet,Volt,2
2011,Calaveras,Electric,Nissan,Leaf,1
2011,Calaveras,Electric,Tesla,Roadster,1
2011,Calaveras,PHEV,Chevrolet,Volt,2
2011,Contra Costa,Electric,Nissan,Leaf,169
2011,Contra Costa,Electric,Smart,Fortwo Electric Drive,2
2011,Contra Costa,Electric,Tesla,Roadster,2
2011,Contra Costa,PHEV,Chevrolet,Volt,38
2011,Del Norte,PHEV,Chevrolet,Volt,1
2011,El Dorado,Electric,Nissan,Leaf,19
2011,El Dorado,PHEV,Chevrolet,Volt,10
2011,Fresno,Electric,Mitsubishi,i-MiEV,2
2011,Fresno,Electric,Nissan,Leaf,15
2011,Fresno,PHEV,Chevrolet,Volt,20
2011,Humboldt,Electric,Nissan,Leaf,9
2011,Humboldt,PHEV,Chevrolet,Volt,1
2011,Imperial,PHEV,Chevrolet,Volt,1
2011,Kern,Electric,Nissan,Leaf,15
2011,Kern,PHEV,Chevrolet,Volt,14
2011,Kings,Electric,Nissan,Leaf,1
2011,Kings,PHEV,Chevrolet,Volt,2
2011,Lake,Electric,Nissan,Leaf,3
2011,Lassen,PHEV,Chevrolet,Volt,1
